,Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System,Li,Si,Mn,Fe,O,Co
86,mp-762535,Li2Fe2(SiO3)3,P21/c,-2.696,0.072,3.017,64,2.611,899.949,False,monoclinic,2.0,3.0,0.0,2.0,9.0,0.0
87,mp-762539,Li2FeSiO4,P21/c,-2.553,0.073,2.649,32,2.877,373.622,True,monoclinic,2.0,1.0,0.0,1.0,4.0,0.0
88,mp-762562,Li2Fe(Si2O5)2,P21/m,-2.898,0.077,3.171,68,2.518,902.44,True,monoclinic,2.0,4.0,0.0,1.0,10.0,0.0
89,mp-761782,Li7Fe3(SiO6)2,C2/m,-2.409,0.078,1.658,24,3.692,208.83,True,monoclinic,7.0,2.0,0.0,3.0,12.0,0.0
90,mp-767149,Li2FeSi3O8,P21,-2.827,0.081,2.614,28,2.719,344.39,True,monoclinic,2.0,3.0,0.0,1.0,8.0,0.0
91,mp-762541,Li4Fe(SiO3)3,C2,-2.758,0.082,3.073,34,2.702,383.352,True,monoclinic,4.0,3.0,0.0,1.0,9.0,0.0
92,mp-761991,Li3Fe3SiO8,P2/m,-2.257,0.083,1.476,15,3.942,145.111,True,monoclinic,3.0,1.0,0.0,3.0,8.0,0.0
93,mp-762585,LiFeSiO4,P21/c,-2.528,0.094,2.351,28,3.058,336.427,True,monoclinic,1.0,1.0,0.0,1.0,4.0,0.0
94,mp-766984,Li2Fe(Si2O5)3,P21,-2.89,0.095,0.332,48,2.555,621.599,True,monoclinic,2.0,6.0,0.0,1.0,15.0,0.0
95,mp-762714,Li2FeSi4O11,C2/c,-2.785,0.098,0.03,36,2.788,426.538,False,monoclinic,2.0,4.0,0.0,1.0,11.0,0.0
96,mp-761452,Li2Fe(Si2O5)3,Cc,-2.876,0.109,0.264,48,2.309,687.797,True,monoclinic,2.0,6.0,0.0,1.0,15.0,0.0
97,mp-780871,LiFe2(SiO4)2,P2,-2.423,0.117,2.528,78,2.474,1219.453,False,monoclinic,1.0,2.0,0.0,2.0,8.0,0.0
98,mp-763301,Li2CoSiO4,Pc,-2.537,0.0,2.957,16,3.216,170.265,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
99,mp-764958,Li2CoSiO4,P21,-2.523,0.014,2.934,16,3.201,171.08,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
100,mp-763512,Li2CoSiO4,P21/c,-2.516,0.02,2.769,32,3.15,347.706,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
101,mp-763470,Li2CoSiO4,P21/c,-2.515,0.021,2.827,32,3.108,352.365,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
102,mp-764634,Li2CoSiO4,C2/m,-2.51,0.027,2.457,16,3.088,177.349,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
103,mp-763396,Li4Co2Si3O10,C2/c,-2.617,0.038,2.876,38,3.078,420.615,True,monoclinic,4.0,3.0,0.0,0.0,10.0,2.0
104,mp-763465,Li2CoSiO4,P21/c,-2.495,0.042,2.684,32,3.13,349.97,True,monoclinic,2.0,1.0,0.0,0.0,4.0,1.0
105,mp-781591,Li3Co2(SiO4)2,Pc,-2.452,0.043,0.0,30,3.115,344.253,True,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
106,mp-763382,Li2Co2Si2O7,P21/c,-2.478,0.047,2.825,52,3.322,599.601,True,monoclinic,2.0,2.0,0.0,0.0,7.0,2.0
107,mp-763575,Li10Co(SiO5)2,C2/m,-2.444,0.048,1.941,46,2.409,474.87,True,monoclinic,10.0,2.0,0.0,0.0,10.0,1.0
108,mp-773761,LiCo(SiO3)2,Cc,-2.638,0.052,1.711,20,2.745,263.753,True,monoclinic,1.0,2.0,0.0,0.0,6.0,1.0
109,mp-763389,Li2Co(SiO3)2,C2/c,-2.687,0.053,3.233,22,2.861,261.142,True,monoclinic,2.0,2.0,0.0,0.0,6.0,1.0
110,mp-762751,Li3Co2(SiO4)2,Pc,-2.438,0.057,0.315,30,3.035,353.345,False,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
111,mp-767356,LiCo(SiO3)2,C2/c,-2.632,0.058,1.238,20,3.405,212.692,True,monoclinic,1.0,2.0,0.0,0.0,6.0,1.0
112,mp-762812,Li3Co2(SiO4)2,Pc,-2.436,0.059,0.35,30,3.052,351.323,False,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
113,mp-762978,LiCoSiO4,Cc,-2.376,0.06,1.281,112,2.998,1399.85,False,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
114,mp-774355,Li3Co2(SiO4)2,Pc,-2.433,0.063,0.541,30,3.092,346.722,True,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
115,mp-763592,LiCoSiO4,Pc,-2.372,0.063,1.468,28,2.961,354.341,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
116,mp-763255,LiCoSiO4,Pc,-2.372,0.064,1.373,14,2.964,176.961,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
117,mp-779186,Li3Co2(SiO4)2,P21,-2.431,0.064,0.022,30,3.032,353.617,True,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
118,mp-762886,LiCoSiO4,P21/c,-2.369,0.066,1.374,28,3.015,347.967,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
119,mp-763256,LiCoSiO4,Pc,-2.369,0.067,1.59,14,2.998,174.957,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
120,mp-763399,Li2Co2(SiO3)3,P21/c,-2.598,0.069,2.727,64,2.739,872.856,True,monoclinic,2.0,3.0,0.0,0.0,9.0,2.0
121,mp-765005,Li2Co(SiO3)2,P21,-2.669,0.072,2.883,22,2.947,253.565,True,monoclinic,2.0,2.0,0.0,0.0,6.0,1.0
122,mp-763385,Li2Co(Si2O5)2,P21/c,-2.858,0.075,3.254,68,2.429,943.786,False,monoclinic,2.0,4.0,0.0,0.0,10.0,1.0
123,mp-779222,Li3Co2(SiO4)2,Pc,-2.418,0.078,0.147,30,3.003,357.078,True,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
124,mp-763313,LiCoSiO4,P21,-2.357,0.079,1.434,14,2.952,177.732,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
125,mp-762976,LiCoSiO4,P21/c,-2.352,0.083,1.403,84,3.017,1043.295,False,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
126,mp-764963,Li2CoSi3O8,P21,-2.772,0.085,3.159,28,2.771,341.661,True,monoclinic,2.0,3.0,0.0,0.0,8.0,1.0
127,mp-763253,LiCoSiO4,Pc,-2.349,0.086,1.474,14,3.096,169.421,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
128,mp-764463,Li3Co2Si3O10,Cc,-2.539,0.089,0.724,36,2.914,436.508,True,monoclinic,3.0,3.0,0.0,0.0,10.0,2.0
129,mp-762974,LiCoSiO4,P21/c,-2.347,0.089,1.494,84,2.999,1049.613,False,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
130,mp-763384,Li2Co(Si2O5)2,P21/m,-2.842,0.091,2.499,68,2.564,894.099,False,monoclinic,2.0,4.0,0.0,0.0,10.0,1.0
131,mp-763364,Li4Co(SiO3)3,C2,-2.706,0.092,2.938,34,2.754,379.735,True,monoclinic,4.0,3.0,0.0,0.0,9.0,1.0
132,mp-763500,LiCoSiO4,P21/c,-2.341,0.095,0.892,28,3.84,273.243,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
133,mp-850488,LiCoSiO4,Pc,-2.338,0.098,1.255,28,3.019,347.495,False,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
134,mp-763246,LiCoSiO4,Pc,-2.338,0.098,1.386,14,2.841,184.681,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
135,mp-767301,Li3Co2(SiO4)2,C2,-2.396,0.099,0.637,15,2.931,182.928,True,monoclinic,3.0,2.0,0.0,0.0,8.0,2.0
136,mp-762293,LiCoSiO4,Cc,-2.333,0.102,1.266,14,2.884,181.921,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
137,mp-849671,Li5Co2(SiO5)2,Pc,-2.301,0.103,0.235,38,2.838,431.503,True,monoclinic,5.0,2.0,0.0,0.0,10.0,2.0
138,mp-765142,LiCoSiO4,Cc,-2.332,0.104,1.552,14,2.724,192.593,True,monoclinic,1.0,1.0,0.0,0.0,4.0,1.0
139,mp-566680,Li2MnSiO4,P21nm,-2.705,0.0,3.052,16,3.039,175.842,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
140,mp-763876,Li2MnSiO4,Pcmn,-2.705,0.0,3.07,32,3.013,354.747,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
141,mp-849238,Li2MnSiO4,Pmnb,-2.695,0.01,2.882,32,2.97,359.824,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
142,mp-775454,Li2MnSiO4,Pna21,-2.694,0.011,2.88,32,2.957,361.437,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
143,mp-780918,Li2MnSiO4,Pna21,-2.694,0.011,2.965,32,2.926,365.204,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
144,mp-780833,Li2MnSiO4,C2221,-2.691,0.014,2.962,16,2.882,185.391,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
145,mp-850110,Li2Mn(SiO3)2,Fdd2,-2.849,0.014,3.487,22,2.74,267.86,True,orthorhombic,2.0,2.0,1.0,0.0,6.0,0.0
146,mp-768020,Li2MnSiO4,Pbn21,-2.685,0.019,2.823,32,2.997,356.585,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
147,mp-868361,Li2Mn2Si2O7,C2cm,-2.712,0.033,2.869,26,3.3,293.746,True,orthorhombic,2.0,2.0,2.0,0.0,7.0,0.0
148,mp-761776,LiMn(SiO3)2,Pbca,-2.824,0.036,0.037,80,3.343,850.626,False,orthorhombic,1.0,2.0,1.0,0.0,6.0,0.0
149,mp-780533,LiMnSiO4,Pmnb,-2.632,0.046,0.99,28,3.598,284.227,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
150,mp-762836,Li3Mn(Si2O5)3,Cmce,-2.972,0.051,1.369,100,2.603,1235.941,False,orthorhombic,3.0,6.0,1.0,0.0,15.0,0.0
151,mp-780325,LiMnSiO4,Cmcm,-2.626,0.052,0.0,14,3.609,141.676,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
152,mp-762828,LiMnSiO4,Pna21,-2.623,0.054,0.11,84,3.55,864.216,False,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
153,mp-850152,Li2MnSiO4,Pca21,-2.65,0.054,2.852,64,2.8,763.324,True,orthorhombic,2.0,1.0,1.0,0.0,4.0,0.0
154,mp-761523,Li2Mn2(Si2O5)3,Cmce,-2.95,0.055,3.376,100,2.634,1342.122,False,orthorhombic,2.0,6.0,2.0,0.0,15.0,0.0
155,mp-761666,Li3Mn(Si2O5)3,Pcmn,-2.968,0.055,1.154,100,2.76,1165.318,False,orthorhombic,3.0,6.0,1.0,0.0,15.0,0.0
156,mp-762845,Li4Mn2Si4O13,Pna21,-2.757,0.059,1.363,92,3.047,998.5,False,orthorhombic,4.0,4.0,2.0,0.0,13.0,0.0
157,mp-775449,Li2Mn(SiO3)2,Fdd2,-2.802,0.061,3.072,66,2.661,827.376,True,orthorhombic,2.0,2.0,1.0,0.0,6.0,0.0
158,mp-850153,Li2Mn2(SiO3)3,Pnma,-2.779,0.067,3.077,64,3.034,770.62,True,orthorhombic,2.0,3.0,2.0,0.0,9.0,0.0
159,mp-780089,Li3MnSi2O7,Pbnm,-2.709,0.069,1.472,52,2.895,559.694,True,orthorhombic,3.0,2.0,1.0,0.0,7.0,0.0
160,mp-761485,Li2Mn(SiO3)2,Pmn21,-2.791,0.072,2.607,66,2.933,750.79,True,orthorhombic,2.0,2.0,1.0,0.0,6.0,0.0
161,mp-849442,Li2Mn(Si2O5)2,P212121,-2.939,0.073,3.783,68,2.29,989.646,False,orthorhombic,2.0,4.0,1.0,0.0,10.0,0.0
162,mp-780825,LiMnSiO4,Pcmn,-2.603,0.074,1.059,28,3.325,307.52,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
163,mp-774444,Li2Mn3(SiO3)4,Pnma,-2.762,0.076,1.527,84,2.856,1123.305,False,orthorhombic,2.0,4.0,3.0,0.0,12.0,0.0
164,mp-780637,Li3MnSiO5,P21nb,-2.529,0.077,0.235,40,2.798,436.412,True,orthorhombic,3.0,1.0,1.0,0.0,5.0,0.0
165,mp-763718,Li2Mn(SiO3)2,Pm21n,-2.784,0.079,2.76,66,2.933,750.671,True,orthorhombic,2.0,2.0,1.0,0.0,6.0,0.0
166,mp-767364,Li2Mn2Si2O7,C2cm,-2.666,0.079,2.696,26,2.944,329.286,True,orthorhombic,2.0,2.0,2.0,0.0,7.0,0.0
167,mp-761619,LiMn(SiO3)2,Pbca,-2.78,0.08,1.2,80,3.306,860.04,True,orthorhombic,1.0,2.0,1.0,0.0,6.0,0.0
168,mp-775156,LiMnSiO4,Pbca,-2.595,0.082,1.267,56,2.994,683.102,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
169,mp-849469,Li2Mn2(SiO3)3,Pnma,-2.764,0.083,3.248,64,2.436,959.619,False,orthorhombic,2.0,3.0,2.0,0.0,9.0,0.0
170,mp-850969,LiMnSiO4,Pna21,-2.591,0.087,1.569,28,2.988,342.286,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
171,mp-780790,Li2Mn2Si2O9,Pnca,-2.481,0.088,0.889,60,3.573,602.169,True,orthorhombic,2.0,2.0,2.0,0.0,9.0,0.0
172,mp-780750,LiMnSiO4,Ibmm,-2.584,0.093,0.0,14,3.855,132.65,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
